,text,class
0,Starfish have no brain.,fact
1,A group of flamingos is called a 'flamboyance'.,fact
2,The fingerprint of a koala is so indistinguishable from a human that they could taint crime scenes.,fact
3,Elephants are the only mammals that can't jump.,fact
4,The blue whale is the largest animal on Earth and has a heart weighing as much as a car.,fact
5,Honeybees can recognize human faces.,fact
6,A crocodile cannot stick its tongue out.,fact
7,Seahorses mate for life and the males carry the babies.,fact
8,A snail can sleep for three years.,fact
9,Slugs have four noses.,fact
10,Ostriches can run faster than horses.,fact
11,Ants don’t sleep.,fact
12,A shrimp's heart is in its head.,fact
13,It's possible to hypnotize a frog by placing it on its back and gently stroking its stomach.,fact
14,Cows have best friends.,fact
15,The average chicken can live for five to ten years.,fact
16,A group of crows is called a 'murder'.,fact
17,Butterflies taste with their feet.,fact
18,Octopuses have three hearts.,fact
19,Dragonflies have six legs but can't walk.,fact
20,Penguins propose with a pebble.,fact
21,A group of frogs is called an 'army'.,fact
22,Cheetahs can't roar.,fact
23,The horn of a rhinoceros is made of hair.,fact
24,The bat is the only mammal that can fly.,fact
25,Giraffes have the same number of neck vertebrae as humans: seven.,fact
26,A cat has 32 muscles in each ear.,fact
27,Mosquitoes prefer biting people with type O blood.,fact
28,Polar bear skin is black.,fact
29,A hummingbird weighs less than a penny.,fact
30,The dodo bird lived on the island of Mauritius and went extinct in the 17th century.,fact
31,Kangaroos can't walk backward.,fact
32,Axolotls can regenerate their limbs.,fact
33,Otters hold hands while sleeping to prevent drifting apart.,fact
34,Female lions do 90% of the hunting.,fact
35,Frogs can't swallow with their eyes open.,fact
36,Cats use their whiskers to detect if they can fit through a space.,fact
37,Male seahorses give birth.,fact
38,Jellyfish are 95% water.,fact
39,A flea can jump 350 times its body length.,fact
40,Only female mosquitoes bite.,fact
41,The tongue of a blue whale is so large that fifty people could stand on it.,fact
42,Bats always turn left when exiting a cave.,fact
43,Owls don't have eyeballs; they have eye tubes.,fact
44,A crocodile can go without eating for up to two years.,fact
45,"The mantis shrimp can see ten times more color than a human, including ultraviolet light.",fact
46,A dog's sense of smell is at least 40 times better than a human's.,fact
47,A group of parrots is called a 'pandemonium'.,fact
48,Houseflies hum in the key of F.,fact
49,An octopus can fit through any hole larger than its beak.,fact
50,Gorillas can catch human colds.,fact
51,Goldfish have a memory span of about three seconds.,fact
52,Wombat feces are cube-shaped.,fact
53,A newborn kangaroo is the size of a lima bean.,fact
54,Honey never spoils.,fact
55,Hippos secrete a natural sunscreen that is pink.,fact
56,A cat's purr may help improve bone density.,fact
57,The world's smallest mammal is the bumblebee bat.,fact
58,Pigs have 30-minute orgasms.,fact
59,Sloths take two weeks to digest their food.,fact
60,"An elephant's trunk contains over 40,000 muscles.",fact
61,"Spiders are arachnids, not insects.",fact
62,The average dolphin eats one-third of its weight on food each day.,fact
63,Tarantulas can live up to 30 years.,fact
64,The narwhal's tusk is actually an elongated tooth.,fact
65,The total weight of all ants on Earth is about the same as the weight of all humans.,fact
66,Some turtles can breathe through their butts.,fact
67,The smell of freshly-cut grass is actually a plant distress call.,fact
68,A giraffe's tongue is blue-black and can be up to 20 inches long.,fact
69,Bees can recognize human faces using visual processing areas in their brain.,fact
70,A group of jellyfish is called a 'smack'.,fact
71,Dogs have a 'third eyelid' known as a nictitating membrane.,fact
72,The male ostrich can roar just like a lion.,fact
73,Great white sharks can detect a single drop of blood in 25 gallons of water.,fact
74,The eyes of the chameleon can move independently of each other.,fact
75,"There are over 1,000 different species of bats.",fact
76,"A snail's mouth is no larger than the head of a pin but can have over 25,000 teeth.",fact
77,A single elephant tooth can weigh over 6 pounds.,fact
78,Some worms will eat themselves if they can't find any food.,fact
79,The flamingo can only eat when its head is upside down.,fact
80,Polar bears are left-handed.,fact
81,The average lifespan of a housefly is one month.,fact
82,The average hummingbird flaps its wings 50 times per second.,fact
83,"A duck's quack doesn't echo, and no one knows why.",fact
84,The flea is the best jumper in the animal kingdom.,fact
85,A single strand of spider silk is thinner than a human hair but also five times stronger than steel of the same width.,fact
86,A rhinoceros horn is made of compacted hair.,fact
87,"Tigers have striped skin, not just striped fur.",fact
88,A baby spider is called a spiderling.,fact
89,The fingerprints of a koala are virtually indistinguishable from those of a human.,fact
90,The closest living relatives to the T-Rex are chickens.,fact
91,A lion in the wild usually makes no more than 20 kills a year.,fact
92,There are more chickens on Earth than people.,fact
93,A group of owls is called a 'parliament'.,fact
94,Sloths move so slowly that algae can grow on their fur.,fact
95,Butterflies have four wings.,fact
96,"Baby elephants suck their trunks for comfort, similar to how human babies suck their thumbs.",fact
97,The largest land animal is the African elephant.,fact
98,"Rats multiply so quickly that in 18 months, two rats could have over a million descendants.",fact
99,Dogs' sense of hearing is more than ten times more accurate than that of a human.,fact
100,A zebra's stripes act as a natural bug repellent.,fact
101,The world's smallest mammal by length is the Etruscan shrew.,fact
102,Star-nosed moles can eat worms faster than the human eye can follow.,fact
103,A blue jay can mimic the calls of hawks.,fact
104,The lifespan of a squirrel is about nine years.,fact
105,A dolphin's dorsal fin is called a fluke.,fact
106,Lobsters can live up to 100 years.,fact
107,The female praying mantis eats the male after mating.,fact
108,The venom of the king cobra can kill an elephant.,fact
109,The only dog that doesn't have a pink tongue is the chow chow.,fact
110,The largest spider in the world is the Goliath birdeater.,fact
111,Armadillos have four identical babies at a time.,fact
112,The eyes of a donkey are positioned to see all four of its legs at all times.,fact
113,Salamanders can grow back lost limbs.,fact
114,Rats laugh when they're tickled.,fact
115,Some lizards can shoot blood out of their eyes to deter predators.,fact
116,The smallest bat is the bumblebee bat.,fact
117,The cheetah is the only cat that can't retract its claws.,fact
118,The leg bones of a bat are so thin that they can't walk.,fact
119,The giraffe has the highest blood pressure of any animal.,fact
120,Sea otters have a pouch under their forearm to store their favorite rocks.,fact
121,The African elephant has larger ears than the Asian elephant.,fact
122,There are over 300 different breeds of horses.,fact
123,The box jellyfish is one of the most venomous creatures in the world.,fact
124,The dachshund was originally bred to hunt badgers.,fact
125,A panda's diet consists almost entirely of bamboo.,fact
126,Vampire bats are the only mammals that feed entirely on blood.,fact
127,The horned lizard can shoot blood out of its eyes.,fact
128,The bones of birds are hollow.,fact
129,An alligator's age can be determined by its sound.,fact
130,The hummingbird is the only bird that can fly backward.,fact
131,An octopus has blue blood.,fact
132,A group of rhinos is called a crash.,fact
133,Camels have three eyelids.,fact
134,Cows produce about 25 gallons of saliva a day.,fact
135,A male goat is called a buck.,fact
136,Honeybees can fly up to 15 miles per hour.,fact
137,There are over 200 different breeds of goats.,fact
138,A male rabbit is called a buck and a female is a doe.,fact
139,Whales and dolphins sleep with one eye open.,fact
140,The praying mantis is the only insect that can turn its head.,fact
141,Rabbits and hares are different species.,fact
142,Dogs sweat through the pads of their feet.,fact
143,The hummingbird is the smallest bird.,fact
144,Sharks are the only fish that can blink with both eyes.,fact
145,The albatross has the largest wingspan of any bird.,fact
146,Cows have four stomachs.,fact
147,The platypus is one of the few mammals that lay eggs.,fact
148,The male penguin incubates the eggs while the female goes to hunt.,fact
149,A kangaroo's strong tail is used for balance and support.,fact
150,The crocodile's tongue is attached to the roof of its mouth.,fact
151,A group of butterflies is called a kaleidoscope.,fact
152,Oysters change their gender multiple times during their life.,fact
153,"The bat is the only mammal that can fly, but not all bats can fly.",fact
154,Penguins can convert saltwater to freshwater.,fact
155,The roadrunner can outrun a coyote.,fact
156,Reindeer have gold eyes in summer and blue eyes in winter.,fact
157,A newborn kangaroo is the size of a lima bean.,fact
158,The bat is the only mammal that can fly.,fact
159,The ostrich's eye is bigger than its brain.,fact
160,Bees have five eyes.,fact
161,Frogs absorb water through their skin.,fact
162,A cheetah can go from 0 to 60 mph in three seconds.,fact
163,There are over 350 different breeds of dogs worldwide.,fact
164,The Great Dane is the national dog of Germany.,fact
165,A koala sleeps for 20 hours a day.,fact
166,The male lion's mane is a sign of virility and power.,fact
167,A group of whales is called a pod.,fact
168,"Some birds, like parrots, can live for over 80 years.",fact
169,The blue whale's call is the loudest sound made by any animal.,fact
170,"Tigers not only have striped fur, they also have striped skin.",fact
171,Clownfish can change genders.,fact
172,The hummingbird's metabolism is so high that it must eat every 10 minutes.,fact
173,The smallest mammal by mass is the Etruscan shrew.,fact
174,The cheetah can't climb trees.,fact
175,"There are over 70,000 types of spiders spinning their webs in the world.",fact
176,Starfish don't have a brain.,fact
177,A mayfly's lifespan is only 24 hours.,fact
178,The giant squid has the largest eyes in the world.,fact
179,The world's smallest bird is the bee hummingbird.,fact
180,The African elephant is the heaviest land mammal.,fact
181,The capybara is the world's largest rodent.,fact
182,The platypus is one of the few mammals that produce venom.,fact
183,The kiwi bird is blind.,fact
184,The arctic fox's fur changes colors with the seasons.,fact
185,The bat is the only mammal capable of sustained flight.,fact
186,The honeybee is the only insect that produces food eaten by humans.,fact
187,The cheetah is the fastest land animal.,fact
188,A group of kangaroos is called a mob.,fact
189,The kangaroo and emu are on the Australian coat of arms because neither animal can walk backward.,fact
190,A group of cats is called a clowder.,fact
191,A group of goldfish is called a troubling.,fact
192,The greyhound is the world's fastest dog.,fact
193,The bloodhound's sense of smell is so accurate it can be used as evidence in a court of law.,fact
194,Dogs are known to detect diseases like cancer through their sense of smell.,fact
195,A group of ravens is called an unkindness.,fact
196,Pigeons were used as mail carriers during World War I and II.,fact
197,The bird that can fly the highest is the bar-headed goose.,fact
198,The sailfish is the fastest fish in the ocean.,fact
199,Parrots can live for over 60 years in the wild.,fact
200,"The tuatara, a New Zealand reptile, has three eyes.",fact
201,Crocodiles have been around for over 200 million years.,fact
202,The smallest mammal in the world by length is the bumblebee bat of Thailand.,fact
203,A snail can slide over a razor blade without getting hurt thanks to its mucus.,fact
204,The kiwi bird has nostrils at the end of its long beak.,fact
205,A mole can dig a tunnel 300 feet long in just one night.,fact
206,The largest recorded snowflake was 15 inches across and 8 inches thick. It fell in Montana in 1887.,fact
207,"The word ""jaguar"" comes from the Native American word ""yaguar"" which means ""he who kills with one leap.""",fact
208,Some ribbon worms will eat themselves if they can’t find any food.,fact
209,Dolphins have names for each other.,fact
210,The ostrich has the largest eyes of any land animal.,fact
211,Slugs have 4 noses.,fact
212,A honeybee's wings flap about 200 beats per second.,fact
213,The heart of a shrimp is located in its head.,fact
214,The harpy eagle's talons are bigger than a bear claw.,fact
215,The male ostrich can roar just like a lion.,fact
216,There's a spider named after David Bowie.,fact
217,Fleas can jump up to 200 times their height.,fact
218,The mantis shrimp punches its prey with the speed of a .22 caliber bullet.,fact
219,"The mantis shrimp can detect ten times more color than a human, including ultraviolet light.",fact
220,There is a species of dolphin found in the Amazon River that is pink.,fact
221,"Sea horses produce up to 1,000 babies at a time.",fact
222,A dragonfly can spot an insect moving 33 feet away.,fact
223,"A ""rhinotillexomania"" is the habit of picking your nose.",fact
224,A male gorilla can eat 40 pounds of food a day.,fact
225,"The average hummingbird's heart rate is more than 1,200 beats per minute.",fact
226,There are more kangaroos in Australia than people.,fact
227,Some male spiders give dead flies to the females as gifts.,fact
228,A newborn kangaroo is small enough to fit in a teaspoon.,fact
229,The flamingo can only eat when its head is upside down.,fact
230,Bats always turn left when exiting a cave.,fact
